0.723,0.005
0.723,0.005
0.723,0.005
0.719,0.005
0.712,0.006
0.698,0.006
0.679,0.008
0.673,0.008
0.664,0.009
0.652,0.01
0.637,0.012
0.624,0.014
0.613,0.016
0.604,0.018
0.596,0.02
0.589,0.022
0.583,0.024
0.577,0.026
0.572,0.027
0.568,0.029
0.564,0.031
0.56,0.033
0.558,0.034
0.556,0.035
0.552,0.037
0.549,0.039
0.546,0.041
0.544,0.043
0.541,0.045
0.54,0.047
0.54,0.048
0.54,0.05
0.54,0.052
0.54,0.054
0.54,0.056
0.54,0.058
0.54,0.06
0.54,0.062
0.54,0.064
0.541,0.066
0.541,0.068
0.541,0.069
0.541,0.072
0.541,0.077
0.541,0.084
0.541,0.089
0.541,0.097
0.542,0.107
0.542,0.118
0.542,0.128
0.543,0.139
0.543,0.149
0.544,0.16
0.544,0.171
0.544,0.177
0.545,0.187
0.546,0.198
0.546,0.209
0.547,0.221
0.548,0.232
0.548,0.243
0.549,0.255
0.55,0.266
0.551,0.278
0.551,0.281
0.552,0.286
0.552,0.294
0.553,0.305
0.554,0.317
0.555,0.328
0.557,0.34
0.558,0.352
0.559,0.364
0.56,0.372
0.561,0.383
0.562,0.395
0.564,0.407
0.565,0.419
0.567,0.432
0.568,0.444
0.568,0.445
0.568,0.447
0.569,0.45
0.569,0.454
0.57,0.461
0.572,0.471
0.573,0.483
0.575,0.495
0.577,0.507
0.578,0.519
0.58,0.53
0.582,0.542
0.584,0.554
0.586,0.566
0.588,0.578
0.59,0.589
0.592,0.601
0.594,0.612
0.594,0.614
0.594,0.617
0.595,0.621
0.596,0.628
0.598,0.637
0.6,0.648
0.602,0.659
0.604,0.67
0.606,0.681
0.608,0.691
0.611,0.702
0.613,0.712
0.615,0.722
0.617,0.732
0.619,0.742
0.621,0.751
0.623,0.761
0.625,0.77
0.627,0.776
0.629,0.785
0.631,0.794
0.633,0.803
0.635,0.812
0.636,0.815
0.637,0.819
0.639,0.826
0.641,0.835
0.643,0.844
0.644,0.848
0.646,0.854
0.647,0.86
0.648,0.864
0.649,0.866
0.649,0.866
0.649,0.865
0.648,0.863
0.647,0.86
0.646,0.857
0.645,0.853
0.644,0.849
0.643,0.845
0.642,0.841
0.641,0.837
0.641,0.834
0.64,0.83
0.639,0.826
0.638,0.822
0.637,0.819
0.636,0.815
0.635,0.811
0.634,0.808
0.633,0.804
0.632,0.801
0.632,0.797
0.631,0.794
0.63,0.79
0.629,0.787
0.628,0.783
0.628,0.78
0.627,0.776
0.626,0.773
0.625,0.77
0.624,0.766
0.624,0.763
0.623,0.76
0.622,0.757
0.622,0.753
0.621,0.75
0.62,0.747
0.619,0.744
0.619,0.741
0.618,0.737
0.617,0.734
0.617,0.731
0.616,0.728
0.615,0.725
0.615,0.722
0.614,0.719
0.614,0.716
0.613,0.713
0.612,0.71
0.612,0.707
0.611,0.704
0.61,0.701
0.61,0.698
0.609,0.695
0.609,0.692
0.608,0.69
0.608,0.687
0.607,0.684
0.606,0.681
0.606,0.678
0.605,0.676
0.605,0.673
0.604,0.67
0.604,0.667
0.603,0.665
0.603,0.662
0.602,0.659
0.602,0.656
0.601,0.654
0.601,0.651
0.6,0.648
0.6,0.646
0.599,0.643
0.599,0.64
0.598,0.638
0.598,0.635
0.597,0.633
0.597,0.63
0.596,0.628
0.596,0.625
0.595,0.622
0.595,0.62
0.594,0.618
0.594,0.615
0.594,0.612
0.593,0.61
0.593,0.607
0.592,0.605
0.592,0.602
0.591,0.6
0.591,0.598
0.591,0.595
0.59,0.593
0.59,0.59
0.589,0.588
0.589,0.586
0.589,0.583
0.588,0.581
0.588,0.579
0.587,0.576
0.587,0.574
0.587,0.572
0.586,0.569
0.586,0.567
0.585,0.565
0.585,0.562
0.585,0.56
0.584,0.558
0.584,0.556
0.584,0.553
0.583,0.551
0.583,0.549
0.583,0.547
0.582,0.544
0.582,0.542
0.582,0.54
0.581,0.538
0.581,0.535
0.581,0.533
0.58,0.531
0.58,0.529
0.58,0.527
0.579,0.525
0.579,0.522
0.579,0.52
0.578,0.518
0.578,0.516
0.578,0.514
0.577,0.512
0.577,0.51
0.577,0.508
0.576,0.506
0.576,0.504
0.576,0.502
0.576,0.499
0.575,0.497
0.575,0.495
0.575,0.493
0.574,0.491
0.574,0.489
0.574,0.487
0.573,0.485
0.573,0.483
0.573,0.481
0.573,0.479
0.572,0.477
0.572,0.475
0.572,0.473
0.572,0.471
0.571,0.469
0.571,0.467
0.571,0.465
0.57,0.463
0.57,0.461
0.57,0.459
0.57,0.457
0.569,0.455
0.569,0.453
0.569,0.451
0.569,0.449
0.568,0.447
0.568,0.446
0.568,0.444
0.568,0.442
0.568,0.44
0.567,0.438
0.567,0.436
0.567,0.434
0.567,0.432
0.566,0.43
0.566,0.428
0.566,0.427
0.566,0.425
0.565,0.423
0.565,0.421
0.565,0.419
0.565,0.417
0.565,0.415
0.564,0.414
0.564,0.412
