2.756,276.734,210.549,78.343,2819,0.594,0.612
2.764,278.476,211.196,78.277,2817.206,0.594,0.614
2.776,281.098,212.164,78.032,2810.497,0.594,0.617
2.795,285.055,213.611,77.658,2800.434,0.595,0.621
2.823,291.04,215.768,77.082,2785.34,0.596,0.628
2.865,300.129,218.973,76.192,2762.698,0.598,0.637
2.915,311.173,222.755,75.093,2735.625,0.6,0.648
2.965,322.404,226.481,73.961,2708.552,0.602,0.659
3.015,333.82,230.151,72.817,2681.478,0.604,0.67
3.065,345.418,233.763,71.657,2654.405,0.606,0.681
3.115,357.195,237.317,70.539,2627.331,0.608,0.691
3.165,369.149,240.818,69.482,2600.258,0.611,0.702
3.215,381.276,244.266,68.461,2573.185,0.613,0.712
3.265,393.574,247.664,67.442,2546.111,0.615,0.722
3.315,406.041,251.01,66.387,2519.038,0.617,0.732
3.365,418.674,254.301,65.261,2491.965,0.619,0.742
3.415,431.471,257.535,64.09,2464.891,0.621,0.751
3.465,444.427,260.71,62.889,2437.818,0.623,0.761
3.515,457.541,263.824,61.679,2410.744,0.625,0.77
3.549,466.635,265.927,60.863,2392.154,0.627,0.776
3.599,480.007,268.948,59.987,2373.261,0.629,0.785
3.649,493.529,271.927,59.173,2354.367,0.631,0.794
3.699,507.199,274.866,58.364,2335.474,0.633,0.803
3.749,521.015,277.763,57.534,2316.581,0.635,0.812
3.767,526.024,278.796,57.227,2309.779,0.636,0.815
3.794,533.572,280.345,57.511,2320.492,0.637,0.819
3.835,544.973,282.682,57.884,2336.562,0.639,0.826
3.885,559.18,285.587,58.313,2356.401,0.641,0.835
3.935,573.533,288.513,58.745,2376.24,0.643,0.844
3.958,580.329,289.896,58.96,2385.564,0.644,0.848
3.993,590.582,291.79,48.481,2104.475,0.646,0.854
4.043,605.226,293.844,33.7,1705.768,0.647,0.86
4.093,619.954,295.161,18.968,1307.061,0.648,0.864
4.143,634.73,295.742,4.286,908.353,0.649,0.866
4.177,644.712,295.72,-5.6,639.226,0.649,0.866
4.227,659.486,295.179,-15.997,354.66,0.649,0.865
4.265,670.69,294.422,-23.861,138.389,0.648,0.863
4.297,680.098,293.579,-28.843,0,0.647,0.86
4.345,694.157,292.2,-28.592,0,0.646,0.857
4.395,708.731,290.777,-28.343,0,0.645,0.853
4.445,723.235,289.365,-28.131,0,0.644,0.849
4.495,737.668,287.964,-27.902,0,0.643,0.845
4.545,752.031,286.575,-27.67,0,0.642,0.841
4.595,766.326,285.197,-27.442,0,0.641,0.837
4.645,780.551,283.83,-27.254,0,0.641,0.834
4.695,794.709,282.472,-27.06,0,0.64,0.83
4.745,808.799,281.125,-26.829,0,0.639,0.826
4.795,822.821,279.788,-26.634,0,0.638,0.822
4.845,836.778,278.462,-26.425,0,0.637,0.819
4.895,850.668,277.145,-26.225,0,0.636,0.815
4.945,864.492,275.839,-26.013,0,0.635,0.811
4.995,878.252,274.544,-25.823,0,0.634,0.808
5.045,891.947,273.257,-25.638,0,0.633,0.804
5.095,905.578,271.98,-25.462,0,0.632,0.801
5.145,919.145,270.711,-25.27,0,0.632,0.797
5.195,932.649,269.452,-25.088,0,0.631,0.794
5.245,946.09,268.202,-24.912,0,0.63,0.79
5.295,959.469,266.961,-24.73,0,0.629,0.787
5.345,972.787,265.729,-24.57,0,0.628,0.783
5.395,986.042,264.505,-24.396,0,0.628,0.78
5.445,999.237,263.289,-24.224,0,0.627,0.776
5.495,1012.371,262.082,-24.053,0,0.626,0.773
5.545,1025.446,260.884,-23.894,0,0.625,0.77
5.595,1038.46,259.693,-23.725,0,0.624,0.766
5.645,1051.415,258.511,-23.578,0,0.624,0.763
5.695,1064.311,257.335,-23.425,0,0.623,0.76
5.745,1077.149,256.168,-23.288,0,0.622,0.757
5.795,1089.928,255.007,-23.139,0,0.622,0.753
5.845,1102.649,253.854,-22.974,0,0.621,0.75
5.895,1115.314,252.71,-22.807,0,0.62,0.747
5.945,1127.921,251.574,-22.636,0,0.619,0.744
5.995,1140.471,250.445,-22.492,0,0.619,0.741
6.045,1152.965,249.324,-22.38,0,0.618,0.737
6.095,1165.403,248.208,-22.249,0,0.617,0.734
6.145,1177.786,247.098,-22.134,0,0.617,0.731
6.195,1190.113,245.995,-22,0,0.616,0.728
6.245,1202.386,244.898,-21.882,0,0.615,0.725
6.295,1214.603,243.807,-21.738,0,0.615,0.722
6.345,1226.767,242.724,-21.581,0,0.614,0.719
6.395,1238.876,241.649,-21.425,0,0.614,0.716
6.445,1250.932,240.581,-21.315,0,0.613,0.713
6.495,1262.934,239.518,-21.2,0,0.612,0.71
6.545,1274.883,238.46,-21.108,0,0.612,0.707
6.595,1286.78,237.408,-20.994,0,0.611,0.704
6.645,1298.624,236.361,-20.875,0,0.61,0.701
6.695,1310.416,235.32,-20.753,0,0.61,0.698
6.745,1322.156,234.286,-20.609,0,0.609,0.695
6.795,1333.845,233.259,-20.469,0,0.609,0.692
6.845,1345.483,232.239,-20.331,0,0.608,0.69
6.895,1357.069,231.225,-20.23,0,0.608,0.687
6.945,1368.605,230.216,-20.133,0,0.607,0.684
6.995,1380.091,229.212,-20.039,0,0.606,0.681
7.045,1391.526,228.212,-19.955,0,0.606,0.678
7.095,1402.912,227.217,-19.867,0,0.605,0.676
7.145,1414.248,226.225,-19.779,0,0.605,0.673
7.195,1425.535,225.239,-19.662,0,0.604,0.67
7.245,1436.772,224.259,-19.544,0,0.604,0.667
7.295,1447.961,223.285,-19.426,0,0.603,0.665
7.345,1459.101,222.316,-19.324,0,0.603,0.662
7.395,1470.192,221.353,-19.191,0,0.602,0.659
7.445,1481.236,220.396,-19.083,0,0.602,0.656
7.495,1492.232,219.445,-18.974,0,0.601,0.654
7.545,1503.181,218.499,-18.872,0,0.601,0.651
7.595,1514.082,217.557,-18.806,0,0.6,0.648
7.645,1524.936,216.618,-18.755,0,0.6,0.646
7.695,1535.744,215.682,-18.682,0,0.599,0.643
7.745,1546.505,214.75,-18.595,0,0.599,0.64
7.795,1557.219,213.822,-18.514,0,0.598,0.638
7.845,1567.887,212.899,-18.403,0,0.598,0.635
7.895,1578.509,211.982,-18.29,0,0.597,0.633
7.945,1589.085,211.07,-18.186,0,0.597,0.63
7.995,1599.616,210.163,-18.088,0,0.596,0.628
8.045,1610.102,209.261,-18.007,0,0.596,0.625
8.095,1620.542,208.362,-17.935,0,0.595,0.622
8.145,1630.938,207.468,-17.847,0,0.595,0.62
8.195,1641.289,206.577,-17.776,0,0.594,0.618
